team,team_code,url1 svg.png,url2 svg
Atlanta Hawks,ATL,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/400px-Atlanta_Hawks_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg
Boston Celtics,BOS,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Brooklyn Nets,BRK,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/300px-Brooklyn_Nets_newlogo.svg.png,https://upload.wikimedia.org/wikipedia/commons/4/44/Brooklyn_Nets_newlogo.svg
Chicago Bulls,CHI,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/400px-Chicago_Bulls_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/6/67/Chicago_Bulls_logo.svg
Charlotte Hornets,CHO,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/400px-Charlotte_Hornets_%282014%29.svg.png,https://upload.wikimedia.org/wikipedia/en/c/c4/Charlotte_Hornets_%282014%29.svg
Cleveland Cavaliers,CLE,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Cleveland_Cavaliers_logo.svg/200px-Cleveland_Cavaliers_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/4/4b/Cleveland_Cavaliers_logo.svg
Dallas Mavericks,DAL,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/400px-Dallas_Mavericks_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/9/97/Dallas_Mavericks_logo.svg
Denver Nuggets,DEN,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png,https://upload.wikimedia.org/wikipedia/en/7/76/Denver_Nuggets.svg
Detroit Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pistons_logo17.svg/400px-Pistons_logo17.svg.png,https://upload.wikimedia.org/wikipedia/commons/7/7c/Pistons_logo17.svg
Golden State Warriors,GSW,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/0/01/Golden_State_Warriors_logo.svg
Houston Rockets,HOU,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/300px-Houston_Rockets.svg.png,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Rockets.svg
Indiana Pacers,IND,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/400px-Indiana_Pacers.svg.png,https://upload.wikimedia.org/wikipedia/en/1/1b/Indiana_Pacers.svg
Los Angeles Clippers,LAC,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Los_Angeles_Clippers_%282015%29.svg/400px-Los_Angeles_Clippers_%282015%29.svg.png,https://upload.wikimedia.org/wikipedia/en/b/bb/Los_Angeles_Clippers_%282015%29.svg
Los Angeles Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/200px-Los_Angeles_Lakers_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/3c/Los_Angeles_Lakers_logo.svg
Memphis Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/400px-Memphis_Grizzlies.svg.png,https://upload.wikimedia.org/wikipedia/en/f/f1/Memphis_Grizzlies.svg
Miami Heat,MIA,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/400px-Miami_Heat_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/f/fb/Miami_Heat_logo.svg
Milwaukee Bucks,MIL,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/360px-Milwaukee_Bucks_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/4/4a/Milwaukee_Bucks_logo.svg
Minnesota Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Minnesota_Timberwolves_logo.svg/400px-Minnesota_Timberwolves_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/c/c2/Minnesota_Timberwolves_logo.svg
New Orleans Pelicans,NOP,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/New_Orleans_Pelicans_logo.svg/400px-New_Orleans_Pelicans_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/0/0d/New_Orleans_Pelicans_logo.svg
New York Knicks,NYK,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/400px-New_York_Knicks_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/2/25/New_York_Knicks_logo.svg
Oklahoma City Thunder,OKC,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png,https://upload.wikimedia.org/wikipedia/en/5/5d/Oklahoma_City_Thunder.svg
Orlando Magic,ORL,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Orlando_Magic_logo.svg/400px-Orlando_Magic_logo.svg.png,https://en.wikipedia.org/wiki/Orlando_Magic#/media/File:Orlando_Magic_logo.svg
Philadelphia 76ers,PHI,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/400px-Philadelphia_76ers_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/0/0e/Philadelphia_76ers_logo.svg
Phoenix Suns,PHO,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Phoenix_Suns_logo.svg/400px-Phoenix_Suns_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/d/dc/Phoenix_Suns_logo.svg
Portland Trail Blazers,POR,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/440px-Portland_Trail_Blazers_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/2/21/Portland_Trail_Blazers_logo.svg
Sacramento Kings,SAC,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/SacramentoKings.svg/400px-SacramentoKings.svg.png,https://upload.wikimedia.org/wikipedia/en/c/c7/SacramentoKings.svg
San Antonio Spurs,SAS,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/400px-San_Antonio_Spurs.svg.png,https://upload.wikimedia.org/wikipedia/en/a/a2/San_Antonio_Spurs.svg
Toronto Raptors,TOR,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/400px-Toronto_Raptors_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/3/36/Toronto_Raptors_logo.svg
Utah Jazz,UTA,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Utah_Jazz_logo_%282016%29.svg/400px-Utah_Jazz_logo_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/0/04/Utah_Jazz_logo_%282016%29.svg
Washington Wizards,WAS,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/400px-Washington_Wizards_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/0/02/Washington_Wizards_logo.svg